"Reference","Value","Footprint","Mouser P/N","REC P/N","LCSC Part #"
"R406,R407,R408,R409,R410,R411,R412,R413,R414,R415,R416,R417,R418,R419,R420,R421,R422,R423,R424,R425,R426,R427,R428,R429","56","Resistor_SMD:R_0402_1005Metric","","","C25127"
"R501,R502,R503,R504,R506,R507,R603,R604,R903,R904,R905,R906,R915","47k","Resistor_SMD:R_0402_1005Metric","","","C25792"
"R601,R602,R907,R908,R909,R910,R911,R912,R914","33","Resistor_SMD:R_0402_1005Metric","","","C138002"
"R605,R606,R801,R1009,R1010","3k","Resistor_SMD:R_0402_1005Metric","","","C25784"
"R703,R705,R707","10k","Resistor_SMD:R_0402_1005Metric","","","C25744"
"R709","0","Resistor_SMD:R_0402_1005Metric","","","C17168"
"R710","1k","Resistor_SMD:R_0402_1005Metric","","","C11702"
"R711","10","Resistor_SMD:R_0402_1005Metric","","","C25077"
"R902,R1101,R1102","56k","Resistor_SMD:R_0402_1005Metric","","","C114756"
"R1004","6.8","Resistor_SMD:R_0402_1005Metric","","","C38373"
"R1104,R1105","5k1","Resistor_SMD:R_0402_1005Metric","","","C25905"
"S201,S701","B3U-3000P","lib:SW_B3U-3000P","","","C963349"
"TP201,TP202,TP203,TP204,TP205,TP206,TP207,TP208,TP209,TP210,TP211,TP601,TP602,TP603,TP604,TP605,TP701,TP702,TP703,TP704,TP705,TP706,TP707,TP1001,TP1002,TP1003,TP1004,TP1005,TP1006,TP1101","TestPoint","lib:TP_0.5","DNI","DNI","DNI"
"U201","TPS62840DLCR","lib:TPS62840DLCR","","","C2071859"
"U202","STPMIC1APQR","lib:QFN40P600X500X80-45N","511-STPMIC1APQR","STPMIC1APQR ","C2156052"
"U301","STM32MP157FABx","lib:ST_LFBGA-354_16x16mm_Layout19x19_P0.8mm","511-STM32MP157FAB1","STM32MP157FAB1","C1236734"
"U401","MT41K256M16TW-107_P","lib:BGA96C80P9X16_1400X800X120","340-265846-TRAY","MT41K256M16TW-107:P","C253882"
"U501,U502,U601,U602,U701,U702,U1101,U1102","HSP051-4M10","lib:IC_HSP051-4M10","511-HSP051-4M10"," HSP051-4M10","C1973641"
"U901","MAYA-W166-00B","lib:XCVR_MAYA-W166-00B","377-MAYA-W166-00B","MAYA-W166-00B",""
"U902","SIT1533AI-H4-DCC-32.768E","lib:SIT1533AI_2X1.2MM","788-1533AIH4DCC32.76","SiT1533AI-H4-DCC-32.768E",""
"U1001","TPS61042DRBR","lib:DRB8_1P75X1P5","","TPS61042DRBR","C91304"
"Y601","NX2012SA-32.768K","lib:XTAL_NX2012SA-32.768K-STD-MUB-1","","NX2012SA-32.768K","C891748"
"Y701","ECS-2520MVQ-240","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","520-E2520MVQ240BSTR","ECS-2520MVQ-240-BS-TR",""
