Designator,Mid X,Mid Y,Rotation,Layer
C328,101.33,-92.6,0.0,bottom
C329,93.16,-92.675,0.0,bottom
C330,96.47,-93.415,0.0,bottom
C331,101.33,-93.425,0.0,bottom
C332,99.76,-102.1,180.0,bottom
C333,99.76,-102.92,180.0,bottom
C334,99.7,-100.52,180.0,bottom
C335,89.18,-95.68,180.0,bottom
C336,98.06,-100.52,180.0,bottom
C337,99.69,-97.31,180.0,bottom
C338,89.59,-108.0025,270.0,top
C339,98.96,-103.765,0.0,bottom
C340,90.88,-92.565,0.0,bottom
C341,104.46,-93.845,0.0,bottom
C342,104.06,-95.285,90.0,bottom
C343,91.25,-94.465,90.0,bottom
C344,103.25,-95.285,90.0,bottom
C345,98.97,-104.575,0.0,bottom
C401,106.79,-91.39,270.0,top
C402,99.4,-66.9,0.0,top
C403,106.7,-75.4,90.0,top
C404,106.7,-81.7,270.0,top
C405,89.2,-70.8,90.0,top
C406,88.82,-81.16,270.0,top
C407,102.7,-69.15,270.0,top
C408,102.7674,-77.916585,90.0,top
C409,91.92,-75.542828,90.0,top
C410,102.7684,-74.89,270.0,top
C411,91.94,-71.49,90.0,top
C412,90.69,-69.82,90.0,top
C413,91.94,-69.67,90.0,top
C414,102.7674,-79.716585,90.0,top
C415,105.2,-75.2,180.0,bottom
C416,105.2,-73.2,180.0,bottom
C417,89.6,-79.6,0.0,bottom
C418,89.6,-77.8,0.0,bottom
C419,89.6,-76.1,0.0,bottom
C420,105.2,-77.6,180.0,bottom
C421,89.6,-72.2,0.0,bottom
C422,89.6,-74.0,0.0,bottom
C423,105.2,-71.2,180.0,bottom
C424,97.6,-68.35,270.0,bottom
C425,105.2,-81.836585,180.0,bottom
C426,105.2,-79.866585,180.0,bottom
C427,104.0674,-70.516585,270.0,top
C428,102.7674,-81.516585,90.0,top
C429,91.94,-73.31,270.0,top
C430,91.64,-79.72,270.0,top
C431,102.7674,-70.816585,270.0,top
C501,69.82,-83.355,180.0,bottom
C601,93.29,-108.61,90.0,top
C602,92.09,-108.57,270.0,top
C701,108.71,-121.84,90.0,top
C702,96.08,-103.28,270.0,bottom
C704,95.69,-106.88,270.0,top
C901,66.4,-116.58,0.0,top
C902,68.8,-114.7,180.0,top
C903,75.57,-125.06,90.0,top
C904,75.57,-126.72,270.0,top
C905,73.4,-116.6,180.0,top
C906,76.41,-125.09,270.0,top
C907,73.66,-115.42,180.0,top
C908,77.5,-126.71,0.0,top
D1001,70.4,-67.0,0.0,top
D1101,98.33,-120.61,0.0,bottom
D1102,95.05,-120.06,270.0,top
D1103,84.9,-120.1,0.0,bottom
D201,62.19,-103.03,270.0,bottom
D501,70.71,-81.995,180.0,bottom
D601,103.585,-109.05,0.0,top
D602,101.715,-109.07,180.0,top
D603,104.62,-106.83,180.0,top
D604,103.89,-108.1,90.0,bottom
D605,109.13,-108.41,270.0,top
D701,108.89,-112.5425,270.0,bottom
J1001,85.85,-65.55,180.0,top
J1101,101.86,-127.41,0.0,top
J1102,87.9,-127.41,0.0,top
J501,68.52,-77.365,270.0,top
J601,107.3025,-106.48,270.0,bottom
J701,104.49,-114.63,270.0,bottom
L1001,72.3,-63.7,270.0,top
L201,68.9,-111.74,90.0,top
L202,77.39,-99.035,0.0,top
L203,72.64,-98.36,90.0,top
L204,77.865,-109.66,270.0,top
L205,73.69,-109.66,270.0,top
L301,102.252499,-106.84,180.0,top
Q1001,100.76,-62.79,270.0,top
Q1002,103.92,-62.79,270.0,top
Q1003,107.09,-62.835,270.0,top
Q201,81.7425,-101.91,0.0,top
R1001,66.25,-65.9,270.0,top
R1002,100.75,-61.09,0.0,top
R1003,99.19,-62.9875,90.0,top
R1004,66.225,-61.8,270.0,top
R1005,102.33,-63.0075,90.0,top
R1006,103.9,-61.1,0.0,top
R1007,107.07,-61.1025,0.0,top
R1008,105.5,-63.0125,90.0,top
R1009,97.2,-66.4,90.0,top
R1010,81.05,-68.25,180.0,top
R1101,100.45,-120.44,90.0,top
R1102,103.65,-120.45,90.0,top
R1103,94.02,-120.06,90.0,top
R1104,89.6,-115.6,180.0,top
R1105,86.2,-115.6,0.0,top
R201,64.32,-113.84,90.0,top
R202,80.14,-101.87,90.0,top
R203,99.6,-116.2,0.0,bottom
R401,94.55,-87.32,0.0,top
R402,103.2674,-76.516585,0.0,top
R403,100.34,-75.01,45.0,bottom
R404,101.8,-78.14,90.0,bottom
R405,95.71,-84.79,135.0,top
R406,91.462601,-75.493415,0.0,bottom
R407,103.28,-74.59,180.0,bottom
R408,91.462601,-77.393415,0.0,bottom
R409,91.462601,-76.443415,0.0,bottom
R410,103.2674,-80.316585,180.0,bottom
R411,91.462601,-78.343415,0.0,bottom
R412,103.2774,-81.301585,180.0,bottom
R413,91.462601,-80.243415,0.0,bottom
R414,103.2674,-82.291585,180.0,bottom
R415,91.482599,-79.293415,0.0,bottom
R416,103.27,-73.62,180.0,bottom
R417,103.2674,-76.136585,180.0,bottom
R418,103.27,-72.67,180.0,bottom
R419,91.462601,-81.243415,0.0,bottom
R420,103.2674,-79.366585,180.0,bottom
R421,91.462601,-74.543415,0.0,bottom
R422,103.2674,-77.09,180.0,bottom
R423,91.462601,-73.593415,0.0,bottom
R424,91.462601,-72.643415,0.0,bottom
R425,91.462601,-71.693415,0.0,bottom
R426,103.26,-78.38,180.0,bottom
R427,95.64,-68.330001,90.0,bottom
R428,96.615,-68.330001,90.0,bottom
R429,94.665,-68.330001,90.0,bottom
R501,80.175,-82.575,0.0,bottom
R502,72.15,-85.905,0.0,bottom
R503,74.06,-85.915,180.0,bottom
R504,1.946942,7.467832,0.0,top
R505,77.89,-85.915,180.0,bottom
R506,79.8,-85.925,0.0,bottom
R507,81.71,-85.925,180.0,bottom
R601,103.59,-108.05,180.0,top
R602,101.71,-108.07,0.0,top
R603,86.2,-114.6,0.0,top
R604,89.6,-114.6,180.0,top
R605,84.601,-102.0,270.0,top
R606,85.601,-102.0,270.0,top
R701,108.2,-120.48,180.0,top
R702,93.03,-110.71,270.0,bottom
R704,96.81,-110.71,270.0,bottom
R706,95.87,-110.71,270.0,bottom
R708,94.69,-108.78,90.0,top
R710,99.1,-109.29,0.0,top
R711,94.69,-106.87,90.0,top
R712,108.75,-117.65,90.0,bottom
R8,75.98,-85.91,0.0,bottom
R801,106.87,-93.22,90.0,top
R901,78.58,-120.52,90.0,top
R902,70.5,-121.1,90.0,bottom
R903,77.57,-124.83,270.0,top
R904,77.59,-122.86,90.0,top
R905,77.6,-119.99,270.0,top
R906,77.87,-118.05,90.0,top
R907,76.1,-118.81,180.0,top
R908,76.1,-119.81,180.0,top
R909,76.1,-122.76,180.0,top
R910,76.1,-123.76,180.0,top
R911,76.1,-121.76,180.0,top
R912,76.1,-120.79,180.0,top
R913,66.54,-115.65,180.0,top
R914,70.7,-116.1,270.0,top
R915,71.7,-116.1,270.0,top
S201,61.33,-103.33,270.0,top
S701,108.81,-117.35,90.0,top
TP1001,99.36,-64.5,0.0,bottom
TP1002,97.78,-63.22,0.0,bottom
TP1003,105.45,-63.56,0.0,bottom
TP1004,91.1,-65.7,0.0,bottom
TP1005,91.5,-64.85,0.0,bottom
TP1006,91.9,-65.7,0.0,bottom
TP1101,89.6,-119.7,0.0,bottom
TP201,72.0,-107.5,0.0,bottom
TP202,105.7,-78.5,0.0,bottom
TP203,69.22,-109.24,0.0,bottom
TP204,90.0,-73.1,0.0,bottom
TP205,105.8,-93.8,0.0,bottom
TP206,69.3,-106.2,0.0,bottom
TP207,69.3,-107.1,0.0,bottom
TP208,80.3,-96.8,0.0,bottom
TP209,70.0,-95.4,0.0,bottom
TP210,79.0,-113.5,0.0,bottom
TP211,72.96,-112.67,0.0,bottom
TP601,101.5,-108.0,0.0,bottom
TP602,101.5,-109.1,0.0,bottom
TP603,84.0,-99.5,270.0,bottom
TP604,86.3,-99.5,270.0,bottom
TP605,85.2,-99.55,90.0,bottom
TP701,93.84,-108.54,0.0,bottom
TP702,78.555,-101.705,180.0,bottom
TP703,97.68,-108.65,0.0,bottom
TP704,99.49,-105.38,0.0,bottom
TP705,96.03,-108.63,0.0,bottom
TP706,94.6,-108.53,0.0,bottom
TP707,98.46,-108.66,0.0,bottom
U1001,68.7,-63.8,270.0,top
U1101,104.94,-114.66,270.0,top
U1102,87.95,-117.09,0.0,top
U201,66.21,-112.78,0.0,top
U202,75.0,-104.135,270.0,top
U301,97.2674,-96.916585,90.0,top
U401,97.1674,-75.716585,0.0,top
U501,77.6015,-82.505,180.0,bottom
U502,74.54,-82.505,180.0,bottom
U601,105.99,-102.03,180.0,bottom
U602,106.92,-96.99,270.0,bottom
U701,99.619,-114.01,270.0,bottom
U702,99.65,-118.32,270.0,bottom
U901,67.39,-122.56,90.0,top
U902,69.0,-116.15,0.0,top
Y601,92.64,-106.79,0.0,top
Y701,97.915,-107.315,90.0,top
